activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
34052,CHEMBL676063,CHEMBL203,CHEMBL1009,Ki,,nM,,,2026-03-21 13:33:18.447979
34669,CHEMBL674637,CHEMBL203,CHEMBL304271,IC50,0.45,nM,=,9.35,2026-03-21 13:33:18.447979
35294,CHEMBL674643,CHEMBL203,CHEMBL296407,IC50,10000.0,nM,=,5.00,2026-03-21 13:33:18.447979
35295,CHEMBL675636,CHEMBL203,CHEMBL296407,Ki,3500.0,nM,=,5.46,2026-03-21 13:33:18.447979
35296,CHEMBL674643,CHEMBL203,CHEMBL309625,IC50,60000.0,nM,=,4.22,2026-03-21 13:33:18.447979
35297,CHEMBL674643,CHEMBL203,CHEMBL77825,IC50,600000.0,nM,=,,2026-03-21 13:33:18.447979
35298,CHEMBL675637,CHEMBL203,CHEMBL77825,Ki,,nM,,,2026-03-21 13:33:18.447979
35301,CHEMBL674643,CHEMBL203,CHEMBL421877,IC50,850000.0,nM,=,,2026-03-21 13:33:18.447979
35302,CHEMBL675636,CHEMBL203,CHEMBL421877,Ki,300000.0,nM,=,,2026-03-21 13:33:18.447979
36510,CHEMBL675636,CHEMBL203,CHEMBL77278,Ki,1350000.0,nM,=,,2026-03-21 13:33:18.447979
36518,CHEMBL674643,CHEMBL203,CHEMBL310798,IC50,3000.0,nM,=,5.52,2026-03-21 13:33:18.447979
36519,CHEMBL675636,CHEMBL203,CHEMBL310798,Ki,1000.0,nM,=,6.00,2026-03-21 13:33:18.447979
37510,CHEMBL677833,CHEMBL203,CHEMBL135592,IC50,8000.0,nM,=,5.10,2026-03-21 13:33:18.447979
40025,CHEMBL674643,CHEMBL203,CHEMBL309866,IC50,1300000.0,nM,=,,2026-03-21 13:33:18.447979
40026,CHEMBL674643,CHEMBL203,CHEMBL77381,IC50,1360000.0,nM,=,,2026-03-21 13:33:18.447979
40027,CHEMBL675640,CHEMBL203,CHEMBL77381,Ki,,nM,,,2026-03-21 13:33:18.447979
41220,CHEMBL674643,CHEMBL203,CHEMBL76602,IC50,165000.0,nM,=,,2026-03-21 13:33:18.447979
41221,CHEMBL675636,CHEMBL203,CHEMBL76602,Ki,308000.0,nM,=,,2026-03-21 13:33:18.447979
41222,CHEMBL674643,CHEMBL203,CHEMBL77737,IC50,250000.0,nM,=,,2026-03-21 13:33:18.447979
41223,CHEMBL675639,CHEMBL203,CHEMBL77737,Ki,,nM,,,2026-03-21 13:33:18.447979
41224,CHEMBL674643,CHEMBL203,CHEMBL76983,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979
41225,CHEMBL675636,CHEMBL203,CHEMBL76983,Ki,400000.0,nM,>,,2026-03-21 13:33:18.447979
41226,CHEMBL674643,CHEMBL203,CHEMBL308134,IC50,125000.0,nM,=,,2026-03-21 13:33:18.447979
41227,CHEMBL675636,CHEMBL203,CHEMBL308134,Ki,49000.0,nM,=,4.31,2026-03-21 13:33:18.447979
42300,CHEMBL677833,CHEMBL203,CHEMBL136491,IC50,14.0,nM,=,7.85,2026-03-21 13:33:18.447979
42432,CHEMBL674643,CHEMBL203,CHEMBL77280,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979
42433,CHEMBL674645,CHEMBL203,CHEMBL42423,IC50,,nM,,,2026-03-21 13:33:18.447979
42434,CHEMBL675638,CHEMBL203,CHEMBL42423,Ki,,nM,,,2026-03-21 13:33:18.447979
43662,CHEMBL674643,CHEMBL203,CHEMBL76557,IC50,625000.0,nM,=,,2026-03-21 13:33:18.447979
43663,CHEMBL675636,CHEMBL203,CHEMBL76557,Ki,360000.0,nM,=,,2026-03-21 13:33:18.447979
44685,CHEMBL677833,CHEMBL203,CHEMBL336113,IC50,1000.0,nM,=,6.00,2026-03-21 13:33:18.447979
44690,CHEMBL677833,CHEMBL203,CHEMBL133024,IC50,100.0,nM,=,7.00,2026-03-21 13:33:18.447979
44695,CHEMBL677833,CHEMBL203,CHEMBL344652,IC50,13350.0,nM,=,4.88,2026-03-21 13:33:18.447979
44885,CHEMBL674643,CHEMBL203,CHEMBL77814,IC50,350000.0,nM,=,,2026-03-21 13:33:18.447979
44886,CHEMBL674643,CHEMBL203,CHEMBL47986,IC50,14000.0,nM,=,4.85,2026-03-21 13:33:18.447979
44964,CHEMBL674646,CHEMBL203,CHEMBL441343,IC50,,nM,,,2026-03-21 13:33:18.447979
44965,CHEMBL676065,CHEMBL203,CHEMBL441343,Ki,,nM,,,2026-03-21 13:33:18.447979
45867,CHEMBL677833,CHEMBL203,CHEMBL138125,IC50,238.0,nM,=,6.62,2026-03-21 13:33:18.447979
45872,CHEMBL677833,CHEMBL203,CHEMBL137364,IC50,64.0,nM,=,7.19,2026-03-21 13:33:18.447979
45958,CHEMBL674643,CHEMBL203,CHEMBL308339,IC50,1400000.0,nM,=,,2026-03-21 13:33:18.447979
45961,CHEMBL674643,CHEMBL203,CHEMBL78174,IC50,430000.0,nM,=,,2026-03-21 13:33:18.447979
45962,CHEMBL675636,CHEMBL203,CHEMBL78174,Ki,143000.0,nM,=,,2026-03-21 13:33:18.447979
46694,CHEMBL674637,CHEMBL203,CHEMBL302552,IC50,22.0,nM,=,7.66,2026-03-21 13:33:18.447979
47278,CHEMBL674643,CHEMBL203,CHEMBL309598,IC50,13500.0,nM,=,4.87,2026-03-21 13:33:18.447979
47279,CHEMBL675636,CHEMBL203,CHEMBL309598,Ki,4500.0,nM,=,5.35,2026-03-21 13:33:18.447979
47286,CHEMBL674643,CHEMBL203,CHEMBL78302,IC50,250000.0,nM,>,,2026-03-21 13:33:18.447979
47933,CHEMBL674637,CHEMBL203,CHEMBL67057,IC50,4.5,nM,=,8.35,2026-03-21 13:33:18.447979
47936,CHEMBL621151,CHEMBL203,CHEMBL67057,IC50,100.0,nM,=,7.00,2026-03-21 13:33:18.447979
47938,CHEMBL615490,CHEMBL203,CHEMBL67057,IC50,,nM,,,2026-03-21 13:33:18.447979
48459,CHEMBL677833,CHEMBL203,CHEMBL332096,IC50,508.0,nM,=,6.29,2026-03-21 13:33:18.447979
48552,CHEMBL674643,CHEMBL203,CHEMBL77387,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979
48553,CHEMBL675636,CHEMBL203,CHEMBL77387,Ki,150000.0,nM,=,,2026-03-21 13:33:18.447979
49320,CHEMBL674637,CHEMBL203,CHEMBL432903,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
