Model,Train R²,Test R²,CV Mean R²,CV Std,Overfit Gap
Original (Complex),0.8655111210642502,0.5946232354488776,0.6034229306711565,0.05020547591690854,0.2620881903930937
Simplified 1,0.6886933343548376,0.5631854069628772,0.5493887619940384,0.06428276386033926,0.13930457236079918
Simplified 2,0.6201436554889529,0.5236565775952766,0.5244409510644935,0.06331621363722859,0.09570270442445938
Very Simple,0.5579034159515903,0.4993702620038346,0.489662394569572,0.06442202434007203,0.06824102138201832
