fold,r2_score,neg_mse
1,0.6108052736634614,-1.2177166395772636
2,0.5633997281555477,-1.793967859469297
3,0.5842588366151403,-1.2776313981166416
4,0.6250052254347382,-1.4857145938094625
5,0.655699334860364,-1.3996687066075715
