MolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,FractionCSP3,molecule_chembl_id,ic50_nM,log_ic50
383.814,4.450340000000002,3,4,3,3,82.69999999999999,0.10526315789473684,CHEMBL68920,41.0,1.6127838567197355
383.814,4.450340000000002,3,4,3,3,82.69999999999999,0.10526315789473684,CHEMBL68920,300.0,2.4771212547196626
383.814,4.450340000000002,3,4,3,3,82.69999999999999,0.10526315789473684,CHEMBL68920,7820.0,3.893206753059848
482.9030000000001,3.614320000000001,3,6,4,3,112.24,0.21739130434782608,CHEMBL69960,170.0,2.230448921378274
482.9030000000001,3.614320000000001,3,6,4,3,112.24,0.21739130434782608,CHEMBL69960,40.0,1.6020599913279623
482.9030000000001,3.614320000000001,3,6,4,3,112.24,0.21739130434782608,CHEMBL69960,440.0,2.6434526764861874
369.43200000000013,4.772000000000004,1,6,6,4,78.66000000000001,0.09523809523809523,CHEMBL137635,9300.0,3.9684829485539352
283.287,2.3105600000000006,2,4,5,1,113.98,0.2,CHEMBL306988,500000.0,5.698970004336019
164.16,1.49,2,2,2,1,57.53,0.0,CHEMBL66879,3000000.0,6.477121254719663
215.16799999999998,1.73096,1,5,2,1,110.95000000000002,0.0,CHEMBL77085,96000.0,4.982271233039568
539.9990000000001,3.228220000000002,3,7,7,3,115.48,0.3076923076923077,CHEMBL443268,5310.0,3.725094521081469
249.22199999999998,1.40098,2,5,4,1,99.78,0.16666666666666666,CHEMBL76979,264000.0,5.421603926869831
236.234,1.55914,2,5,2,1,117.61999999999999,0.0,CHEMBL76589,125.0,2.0969100130080562
214.224,2.13436,0,4,3,1,66.03999999999999,0.16666666666666666,CHEMBL77724,1250000.0,6.096910013008056
239.2779999999999,1.95376,0,4,2,1,60.05,0.2857142857142857,CHEMBL420385,625000.0,5.795880017344075
186.17,1.52836,2,4,1,1,88.04,0.0,CHEMBL76904,35000.0,4.544068044350276
197.18999999999997,0.052200000000000135,4,4,3,1,103.78000000000002,0.2222222222222222,CHEMBL1009,900000.0,5.954242509439325
