molecule_chembl_id,ic50_nM,pchembl_value,smiles,assay_chembl_id
CHEMBL77387,450000.0,,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,CHEMBL674643
CHEMBL432903,200.0,6.70,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CHEMBL674637
CHEMBL69964,210.0,6.68,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,CHEMBL674637
CHEMBL65848,1410.0,5.85,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL674637
CHEMBL65848,5000.0,5.30,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL621151
CHEMBL65848,4320.0,5.37,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL615325
CHEMBL78184,833000.0,,N#C/C(=C\c1ccc(F)cc1)C(=O)O,CHEMBL674643
CHEMBL76985,47000.0,4.33,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL674643
CHEMBL145,1200000.0,,O=C(O)/C=C/c1ccc(O)c(O)c1,CHEMBL674643
CHEMBL69629,6.5,8.19,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL69629,40.0,7.40,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL621151
CHEMBL69629,2050.0,5.69,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL615325
CHEMBL136492,8400.0,5.08,CN(c1ccccc1)c1ncnc2ccc(N)cc12,CHEMBL677833
CHEMBL77197,1100000.0,,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,CHEMBL674643
CHEMBL305695,560000.0,,N#CC(C#N)=Cc1ccc(O)cc1,CHEMBL674643
CHEMBL68258,20000.0,,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,CHEMBL674637
CHEMBL76587,6500000.0,,N#CC(C#N)Cc1ccc(O)cc1,CHEMBL674643
CHEMBL77456,1250000.0,,COc1ccc(C=C(C#N)C#N)cc1,CHEMBL674643
CHEMBL66570,13.0,7.89,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL674637
CHEMBL66570,200.0,6.70,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL621151
CHEMBL66570,7500.0,5.12,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL615325
CHEMBL308048,800000.0,,N#C/C(=C\c1ccc(O)cc1)C(N)=O,CHEMBL674643
CHEMBL311119,60000.0,4.22,N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL674643
CHEMBL76905,37000.0,4.43,N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL674643
CHEMBL77524,833000.0,,COc1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL674643
CHEMBL305194,29.0,7.54,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL674637
CHEMBL305194,5000.0,,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL621151
CHEMBL305194,50000.0,,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL615325
CHEMBL307250,325000.0,,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,CHEMBL674643
CHEMBL80155,6000.0,5.22,COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL674643
CHEMBL343352,200.0,6.70,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL677833
CHEMBL52765,44.0,7.36,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL677833
